Star,Kerb Weight,Active Bonnet,Lane Assist System,AEB Pedestrian,Center Airbag,Side Pelvis Airbag,Side Chest Airbag,Belt Pretensioner,Knee Airbag
1,2030,0,1,1,10-1,110,110,111,00-1
0,2422,0,1,0,10-1,110,110,111,00-1
0,1790,0,1,0,10-1,110,110,111,00-1
1,1725,0,1,1,10-1,110,110,111,00-1
0,2104,0,1,0,00-1,110,110,111,00-1
0,2104,0,1,0,00-1,110,110,111,00-1
0,2104,0,1,0,00-1,110,110,111,00-1
1,1761,1,1,1,10-1,110,110,111,000
1,2245,1,1,0,10-1,110,110,111,00-1
1,1234,0,1,0,10-1,111,111,111,00-1
1,2225,0,1,1,10-1,111,111,111,00-1
1,1715,0,1,1,10-1,110,110,111,00-1
1,1809,0,1,1,10-1,110,110,111,10-1
1,2660,0,1,0,10-1,111,111,111,00-1
1,2260,0,1,0,10-1,110,110,111,00-1
